prompt,response,label
What does comfort mean to you?,"What does comfort mean to you? I'm not a psychologist. I am simply an ordinary person who has no interest in anything that might affect the way we feel about ourselves and our lives, but do have any illusions of happiness or fulfillment when it comes time for something better than me",after
How do you feel about being alone?,"How do you feel about being alone? The answer to this question is simple: You can't. When it comes to relationships, the response should be positive and friendly as well. Being self-reliant means that when we're in a relationship with others, there shouldn'a need",after
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. ""But we're going to have this conversation right now,"" he said in an interview with the Los Angeles Times on Wednesday night at his Washington, D'Ivoire home. The former Democratic presidential candidate has made headlines over recent months after tweeting",after
How do you feel about mornings?,How do you feel about mornings? Let's take a look at the results.,after
Describe a walk in the park.,"Describe a walk in the park. It is possible to make this experience feel real, fun and rewarding for everyone around us: people who are looking forward to going out with their new passion as they go along!",after
What makes a good day?,"What makes a good day? In this episode, we learn how to apply mindfulness techniques. The first time someone was asked if they knew about the meditation technique for their children's yoga teacher in China when he came across it and said ""you know exactly what you're doing""",after
How would you define success?,"How would you define success?” If ""success is your goal"" then this can be a useful tool for understanding the problem. Even in theory, failure happens when we use our ability to control ourselves and create new things that are not at all fun by virtue of us",after
What is your favorite food and why?,What is your favorite food and why? Do you have any questions or comments about it as well? Let us know in the comment section below!,after
How do you handle stress?,"How do you handle stress? I can't say when I feel like it's time to relax, but on the other hand — and that makes me proud. So why is there a way for my son to be able so much more without having some of his pain relief in",after
What are your thoughts on silence?,What are your thoughts on silence? Do you have any suggestions to share with the public or should they be mentioned in a timely manner by people that seem more curious about how we feel and understand our own lives. The following is my personal perspective: I am not an atheist! In,after
What does comfort mean to you?,"What does comfort mean to you? I was really not looking for some kind of love or attachment. I just wanted something that felt like a home and the way it feels, which is wonderful.""",after
How do you feel about being alone?,"How do you feel about being alone? I think that's the key. I have to be able not to go through this or anything, just because it doesn't make sense for somebody who has a mental disability and is in danger of suicide.""",after
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. The two men were not arrested but they're charged with ""troubling conduct"" and violating the Fourth Amendment, according to court documents filed in Ummah County Superior Court today (Sept 10). They've been held on $2 million bail",after
How do you feel about mornings?,How do you feel about mornings? You can find us on Facebook.,after
Describe a walk in the park.,"Describe a walk in the park. The public is welcome to meet with and share information on what's happening here, how it will affect you along these lines or your city/state plans as well as any questions about other specific projects that would be required by this study:",after
What makes a good day?,"What makes a good day? Well, my wife is too busy to work the evening. I can't do that with her family (I'm not going to tell you in any way), but it's only because she has this bad habit of forgetting and leaving time for sleep when",after
How would you define success?,"How would you define success?” In the last few years I've been involved in a variety of other endeavors that are focused on getting people to join our communities, but some have found it difficult or impossible to do so consistently. Unfortunately this has led to many different strategies",after
What is your favorite food and why?,What is your favorite food and why?,after
How do you handle stress?,"How do you handle stress?” I'm not sure. When I look back on my experience, it's just a matter of time before being reminded that these are the things we should be thankful for and how to deal with them as they grow in their lives (and",after
What are your thoughts on silence?,What are your thoughts on silence? Leave a comment below! The Story of the Day,after
What does comfort mean to you?,"What does comfort mean to you? I‖m afraid. I hope that, if someone else is going to do this and they give me a shot at it then just because my mind can't handle an issue or even what the other person wants with regards their personal situation are",after
How do you feel about being alone?,"How do you feel about being alone? I don't think, of course. I'm not too sure if it's just a small thing that does an amazing job but is really worth taking care of when trying to put on your own! Sometimes people are very shy and lonely or have",after
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. ""I just didn't think it was all right,"" he said, ""and I'm glad that this has happened.""",after
How do you feel about mornings?,"How do you feel about mornings? Tough. It’s hard to believe that the sun is shining and there's nothing wrong with it, but we all know this: The beauty of a few weeks in an office isn't just easy work — sometimes they are even harder",after
Describe a walk in the park.,"Describe a walk in the park. I don't have any idea how long it takes to get there, but if you go through all sorts of things that are going on with your life and what's happening next then maybe they'll come back soon enough.""",after
What makes a good day?,"What makes a good day? I‪m not sure. My friends are in the same situation, because of this recent episode and my own reaction: ‏I am an icky kid on stage with little girls who don't like themselves as much…. well… so",after
How would you define success?,"How would you define success? I'd like to say that this is a very simple one. It will be written by some people from different backgrounds and I hope everyone can learn more about what it means for me, but there are too many questions in the world of how successful",after
What is your favorite food and why?,"What is your favorite food and why? We are really interested in the idea of sharing recipes with other people. So, we have a good start to get started (and if you enjoy reading about it or just want to read more then sign up here). We hope that this post will",after
How do you handle stress?,"How do you handle stress? I don't use too much of my time. I'm very happy with how well a person is doing, and has been able to make it happen in the past year or so."" This month's show was called ""Singing"" by",after
What are your thoughts on silence?,"What are your thoughts on silence? I think it's a really cool idea to write something about the subject. The time is so long before you start, and then we get our heads up that these people will be doing whatever they want: do good work with them or not;",after
What does comfort mean to you?,"What does comfort mean to you? It’s a pretty nice thing. I don't think it matters because there are many reasons why we should care about the world in general, and I do not see them as making us feel like they were somehow out of touch with what",after
How do you feel about being alone?,"How do you feel about being alone? In this post, I will try to explain why we are not so isolated from other people. This is because of our own personal experiences and how much they give us that sense of isolation or fear which helps them become more effective at coping with loneliness",after
Describe a quiet Sunday afternoon.,"Describe a quiet Sunday afternoon. ""Just walking by, you're like 'Whoa! What's that?' I was sitting on the couch and wondering how to get up,"" said Cinco della Serra (came from Spain). ""I just saw my wife",after
